Cell Position,WT-1,WT-2,WT-3,WT-4,WT-5,WT-6,WT-7,WT-8,WT-9,WT-10,WT-11,WT-12,WT-13,WT-14,WT-15,WT-16,WT-17,WT-18,WT-19,WT-20,WT-21,WT-22,WT-23,WT-24,WT-25,WT-26,WT-27,BC-1,BC-2,BC-3,BC-4,BC-5,BC-6,BC-7,BC-8,BC-9,BC-10,BC-11,BC-12,BC-13,BC-14,BC-15,BC-16,BC-17,BC-18,BC-19,BC-20,BC-21,BC-22,BC-23,BC-24,BC-25,BC-26,BC-27,C1-1,C1-2,C1-3,C1-4,C1-5,C1-6,C1-7,C1-8,C1-9,C1-10,C1-11,C1-12,C1-13,C1-14,C1-15,C1-16,C1-17,C1-18,C1-19
26,184.332,105.655,180.567,59.227,59.604,84.323,126.485,65.376,140.79,50.176,155.752,52.377,91.096,72.676,82.45,108.137,88.088,113.024,121.419,107.761,94.729,56.261,87.337,86.71,95.857,72.425,249.103,,583.863,653.513,120.09,79.43,240.171,91.601,313.828,225.615,135.601,283.118,116.656,,181.287,211.894,136.444,,171.597,155.353,503.346,161.907,212.113,164.73,244.476,178.214,295.184,200.166,,,,,,318.345,,119.082,496.278,,,,590.069,,,,,297.92,343.204
27,262.381,173.917,182.324,92.802,71.65,93.107,127.865,81.312,158.232,112.143,136.205,36.213,50.748,82.199,63.529,120.542,90.845,116.282,74.054,127.308,91.472,53.129,76.936,81.322,103.877,80.946,242.462,,866.698,,109.778,79.304,299.147,208.926,206.918,283.462,180.257,348.472,125.876,,106.966,173.071,196.716,,165.576,154.381,562.301,201.2,196.152,235.507,209.04,301.079,360.944,278.563,,,,,,402.292,,142.421,589.887,,,,441.925,,,,,504.394,517.063
28,114.062,121.842,192.112,66.898,93.985,69.391,140.664,116.195,155.22,54.943,141.844,38.719,139.212,99.24,76.31,157.757,105.631,144.726,80.821,97.11,87.838,68.04,91.597,368.392,123.675,71.298,222.915,,984.274,,113.299,70.897,336.917,209.302,223.984,252.844,143.503,340.946,121.611,,144.723,195.587,266.71,,223.371,165.89,,196.402,141.963,220.11,236.009,389.042,364.331,470.576,,,,,,472.185,,288.606,,,,,552.187,,,,,449.075,552.061
29,115.192,132.508,182.7,107.137,83.57,90.597,112.306,131.63,136.021,54.19,213.392,51.625,65.91,108.763,48.743,192.466,93.602,86.585,129.313,187.078,111.896,63.779,92.223,203.994,184.321,94.729,254.241,,,,125.874,,431.529,213.569,245.817,293.751,187.533,237.96,219.106,,276.431,200.918,265.298,,317.543,197.845,,209.228,135.158,223.215,186.524,500.429,408.045,529.154,,,,,,628.158,,326.627,,,,,1545.42,,,,,703.843,649.277
30,130.877,113.686,202.526,110.407,74.034,84.323,127.489,116.195,158.483,75.891,182.191,38.719,73.052,120.667,55.635,230.558,118.913,149.236,110.894,93.978,88.214,78.064,98.614,176.427,81.071,74.43,212.64,,,,282.682,,510.959,226.995,266.522,435.545,361.392,324.011,218.228,,142.559,197.563,238.33,,388.822,160.684,,279.661,185.991,226.1,256.267,611.88,,629.159,,,,,,1184.918,,232.893,,,,,,,,,,939.671,952.967
31,125.732,105.404,210.934,87.144,65.627,92.103,109.294,105.655,134.767,102.234,189.459,45.485,81.071,99.115,111.771,100.619,121.92,125.429,91.847,114.277,108.137,83.452,72.175,190.461,94.228,93.226,255.619,,,,371.46,,618.873,210.181,169.399,286.85,347.469,519.321,151.841,,179.218,255.295,275.02,,470.67,175.956,,296.971,185.928,210.389,276.462,,,761.683,,,,,,,,324.369,,,,,,,,,,1387.24,
32,150.452,117.199,229.379,268.347,99.381,85.202,102.142,147.064,152.083,78.149,232.438,56.512,76.185,127.434,85.958,153.622,118.788,130.692,137.458,121.294,89.717,70.17,143.222,186.702,103.25,121.294,332.931,,,,323.802,,,315.208,187.469,283.211,820.126,576.271,143.594,,243.159,261.661,275.459,,,207.88,,415.227,363.139,215.971,371.543,,,1078.191,,,,,,,,297.516,,,,,,,,,,,
33,137.904,164.38,224.611,155.676,99.757,104.651,112.055,171.658,148.068,94.707,165.275,88.59,56.762,102.498,110.392,132.446,117.66,114.903,155.627,122.797,97.862,68.917,109.139,169.16,98.113,125.303,271.407,,,,391.454,,,298.77,275.305,229.128,467.264,846.218,133.559,,250.309,254.291,327.17,,,241.81,,504.632,,247.926,594.507,,,,,,,,,,,358.876,,,,,,,,,,,
34,95.868,144.429,287.226,216.79,149.573,178.56,127.865,140.79,167.894,99.098,178.182,87.337,119.54,127.559,115.154,163.521,130.19,101.746,105.631,223.04,124.802,149.612,124.552,128.561,142.721,121.67,251.86,,,,655.903,,,420.613,299.649,225.615,601.735,807.708,181.193,,238.769,333.724,300.389,,,265.236,,588.956,,266.929,408.61,,,,,,,,,,,328.259,,,,,,,,,,,
35,163.125,164.631,303.413,192.898,172.16,184.583,198.762,154.844,166.262,127.823,256.246,87.587,82.199,107.009,151.241,280.304,157.506,108.513,147.232,257.123,129.063,115.655,131.694,282.058,158.634,128.185,394.455,,,,730.723,,,794.923,232.14,292.998,639.367,,290.26,,298.727,439.655,,,,283.769,,,,342.881,480.924,,,,,,,,,,,421.867,,,,,,,,,,,
