Cell Position,WT-1,WT-2,WT-3,WT-4,WT-5,WT-6,WT-7,WT-8,WT-9,WT-10,WT-11,WT-12,WT-13,WT-14,WT-15,WT-16,WT-17,WT-18,WT-19,WT-20,WT-21,WT-22,WT-23,WT-24,WT-25,WT-26,WT-27,WT-28,WT-29,WT-30,BC-1,BC-2,BC-3,BC-4,BC-5,BC-6,BC-7,BC-8,BC-9,BC-10,BC-11,BC-12,BC-13,BC-14,BC-15,BC-16,BC-17,BC-18,BC-19,BC-20,BC-21,BC-22,BC-23,BC-24,BC-25,BC-26,BC-27,BC-28,C1-1,C1-2,C1-3,C1-4,C1-5,C1-6,C1-7,C1-8,C1-9,C1-10,C1-11,C1-12,C1-13,C1-14,C1-15,C1-16,C1-17,C1-18,C1-19
12,230.383,263.636,322.737,165.736,134.299,111.036,123.222,234.022,167.015,133.763,152.209,116.534,166.904,115.154,157.757,289.075,96.484,171.666,99.366,100.869,109.515,123.299,118.286,137.333,174.047,228.428,170.413,176.051,155.126,120.793,320.604,258.115,205.538,186.862,197.047,120.211,325.498,119.333,143.55,132.132,156.173,289.264,180.315,184.298,154.036,219.044,118.506,153.158,167.803,142.308,87.147,161.531,99.001,194.176,174.576,185.395,194.176,150.775,260.499,132.029,,160.706,163.473,212.816,149.95,176.175,503.807,203.656,180.065,206.291,259.661,320.123,251.131,231.311,525.092,119.168,236.705
13,221.851,260.499,422.244,196.419,182.964,148.886,129.998,274.553,172.662,133.637,186.716,121.928,143.472,101.12,152.87,183.82,94.604,208.129,219.406,106.884,163.27,128.436,186.953,172.919,200.861,149.738,176.928,167.656,254.115,183.82,367.158,251.339,253.723,208.365,269.73,229.63,320.353,122.47,201.899,132.508,145.259,271.452,204.713,217.256,246.608,151.622,154.068,158.082,179.688,133.684,101.165,186.556,98.687,187.528,147.106,187.685,182.322,275.584,316.212,192.84,,200.568,132.539,261.377,156.349,193.115,672.83,480.091,187.845,246.947,236.956,524.966,288.512,223.409,342.326,117.035,221.151
14,202.025,262.13,353.104,233.389,189.503,159.952,171.909,262.13,108.29,115.819,184.081,227.673,267.648,90.093,207.503,161.266,96.358,204.245,119.79,139.212,178.056,124.301,109.641,238.828,182.943,147.607,341.828,171.29,224.794,165.15,394.262,287.352,209.302,243.323,300.538,77.171,396.52,145.307,140.037,147.942,336.054,280.358,186.054,207.065,243.598,155.008,134.844,290.198,413.408,117.032,150.775,257.459,99.597,179.124,142.527,208.131,2.038,236.856,315.208,147.325,,218.173,135.934,277.439,187.594,371.8,769.324,463.904,192.739,271.792,307.328,503.641,217.764,216.133,620.802,103.739,269.32
15,193.994,223.858,371.8,221.443,332.73,148.634,140.162,232.015,188.347,130.626,276.56,219.394,237.951,86.334,215.522,134.451,184.572,167.531,110.894,154.123,167.03,112.397,123.675,221.286,181.815,207.753,188.331,317.895,129.689,143.222,526.644,294.755,225.364,267.215,230.245,230.132,455.998,125.356,209.177,146.813,311.593,200.578,189.002,218.981,225.755,220.768,301.424,299.198,239.145,148.831,82.318,230.302,120.827,173.761,281.229,171.785,187.277,246.922,266.271,206.256,,246.466,129.143,324.871,214.698,523.256,770.83,632.676,280.701,257.989,311.844,723.161,210.614,207.478,,124.562,838.19
16,215.953,283.336,430.275,206.353,217.419,117.323,192.739,244.061,181.069,138.908,297.265,239.214,275.668,100.619,208.38,98.614,204.119,184.196,129.063,160.138,179.059,133.824,145.853,201.613,158.885,180.437,191.338,179.81,176.553,138.084,602.184,355.739,201.021,235.149,206.101,254.727,418.103,142.421,134.516,263.887,381.087,200.328,181.131,289.884,239.709,229.204,279.253,183.859,202.674,167.646,87.68,223.403,192.639,260.908,262.696,202.831,209.667,247.894,270.914,172.402,,210.754,162.592,367.158,390.748,520.496,1326.711,723.273,289.987,294.253,375.693,,258.03,317.238,,165.581,
17,198.26,288.481,428.894,248.604,204.089,116.443,195.249,366.53,173.666,116.823,326.627,249.124,244.091,132.571,230.433,121.419,120.667,184.447,134.701,148.359,166.528,153.246,171.415,230.433,211.638,233.44,337.442,173.044,216.399,263.513,954.535,349.841,229.003,153.539,268.598,299.523,489.251,170.403,185.21,299.272,328.025,201.958,261.786,292.017,233.093,204.713,295.529,214.246,226.539,306.912,103.673,346.111,104.426,195.807,283.487,281.605,203.27,292.832,463.904,267.443,,259.544,147.503,503.054,489.125,551.991,,402.418,329.262,242.931,539.768,,348.598,398.523,,300.303,
18,297.39,370.546,407.814,245.335,361.652,129.143,200.017,327.004,175.297,133.386,330.643,208.23,284.188,182.442,174.924,323.784,123.925,192.341,229.18,163.897,241.334,197.979,250.732,215.898,176.553,227.802,382.176,183.444,125.178,287.947,,432.784,219.968,127.257,270.233,269.408,597.792,201.397,216.58,293.375,336.304,201.331,237.232,634.302,234.316,212.113,341.376,438.401,335.355,283.142,153.127,916.221,113.144,236.009,238.361,272.354,211.674,287.908,385.603,299.415,,259.419,123.485,581.354,493.392,690.02,,571.19,419.734,528.652,1210.872,,1022.335,854.12,,366.661,
19,191.986,376.82,891.669,277.778,301.921,164.982,179.187,390.246,198.637,229.254,323.741,202.836,297.345,184.572,188.331,309.75,143.974,380.923,241.585,168.157,217.527,169.536,147.106,225.045,177.68,183.945,337.818,209.257,114.151,373.78,,614.983,267.526,260.173,293.119,339.301,1481.053,183.077,199.515,399.281,320.75,475.041,278.469,773.442,235.256,300.891,292.236,530.064,305.313,253.664,92.447,,227.166,236.479,226.194,238.298,214.214,317.574,466.915,336.027,,255.52,138.072,568.178,594.404,968.463,,,403.171,606.074,1757.288,,,1361.901,,415.582,
20,226.242,291.994,1094.07,241.437,350.46,158.191,364.272,407.563,200.142,269.031,314.456,234.949,328.17,249.354,250.732,382.301,152.745,434.302,235.195,186.577,253.113,184.948,135.202,237.325,183.194,144.976,323.283,192.967,131.067,302.483,,,269.031,223.077,293.999,306.425,,225.239,212.565,371.926,390.495,456.225,283.424,,297.849,306.536,293.459,,700.846,256.424,113.52,,120.733,366.557,255.953,254.668,504.569,384.495,,440.346,,334.49,238.293,822.528,1693.242,1007.488,,,539.569,742.723,,,,,,513.426,
21,218.839,370.169,1516.815,325.688,419.999,198.431,327.129,940.355,316.463,185.085,418.605,210.614,300.478,313.259,209.633,428.037,283.311,425.029,279.427,200.611,226.047,190.211,166.904,236.322,381.674,300.728,281.557,188.206,114.277,509.108,,,353.229,248.101,368.945,284.717,,273.298,217.333,376.067,406.802,401.157,312.055,,317.888,385.843,483.057,,562.646,225.065,95.332,,149.395,419.617,240.305,246.138,,635.305,,465.172,,1270.937,233.389,1137.235,,,,,977.498,952.401,,,,,,621.304,
